No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
01,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6151 2511,0150 0000 6151 6510,4000,01,23,01,S833,0852,843,S833X015000006151251104000
02,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6151 6511,0150 0000 6152 0510,4000,02,23,02,S833,0852,843,S833X015000006151651104000
03,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6152 0511,0150 0000 6152 4510,4000,03,23,03,S833,0852,843,S833X015000006152051104000
04,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6152 4511,0150 0000 6152 8510,4000,04,23,04,S833,0852,843,S833X015000006152451104000
05,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6152 8511,0150 0000 6153 2510,4000,05,23,05,S833,0852,843,S833X015000006152851104000
06,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6153 2511,0150 0000 6153 6510,4000,06,23,06,S833,0852,843,S833X015000006153251104000
07,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6153 6511,0150 0000 6154 0510,4000,07,23,07,S833,0852,843,S833X015000006153651104000
08,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6154 0511,0150 0000 6154 4510,4000,08,23,08,S833,0852,843,S833X015000006154051104000
09,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6154 4511,0150 0000 6154 8510,4000,09,23,09,S833,0852,843,S833X015000006154451104000
10,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6154 8511,0150 0000 6155 2510,4000,10,23,10,S833,0852,843,S833X015000006154851104000
11,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6155 2511,0150 0000 6155 6510,4000,11,23,11,S833,0852,843,S833X015000006155251104000
12,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6155 6511,0150 0000 6156 0510,4000,12,23,12,S833,0852,843,S833X015000006155651104000
13,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6156 0511,0150 0000 6156 4510,4000,13,23,13,S833,0852,843,S833X015000006156051104000
14,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6156 4511,0150 0000 6156 8510,4000,14,23,14,S833,0852,843,S833X015000006156451104000
15,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6156 8511,0150 0000 6157 2510,4000,15,23,15,S833,0852,843,S833X015000006156851104000
16,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6157 2511,0150 0000 6157 6510,4000,16,23,16,S833,0852,843,S833X015000006157251104000
17,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6157 6511,0150 0000 6158 0510,4000,17,23,17,S833,0852,843,S833X015000006157651104000
18,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6158 0511,0150 0000 6158 4510,4000,18,23,18,S833,0852,843,S833X015000006158051104000
19,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6158 4511,0150 0000 6158 8510,4000,19,23,19,S833,0852,843,S833X015000006158451104000
20,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6158 8511,0150 0000 6159 2510,4000,20,23,20,S833,0852,843,S833X015000006158851104000
21,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6159 2511,0150 0000 6159 6510,4000,21,23,21,S833,0852,843,S833X015000006159251104000
22,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6159 6511,0150 0000 6160 0510,4000,22,23,22,S833,0852,843,S833X015000006159651104000
23,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852843pn3,0150 0000 6160 0511,0150 0000 6160 4183,3673,23,23,23,S833,0852,843,S833X015000006160051103673
24,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6121 4389,0150 0000 6121 8388,4000,01,25,01,S833,0852,861,S833X015000006121438904000
25,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6121 8389,0150 0000 6122 2388,4000,02,25,02,S833,0852,861,S833X015000006121838904000
26,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6122 2389,0150 0000 6122 6388,4000,03,25,03,S833,0852,861,S833X015000006122238904000
27,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6122 6389,0150 0000 6123 0388,4000,04,25,04,S833,0852,861,S833X015000006122638904000
28,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6123 0389,0150 0000 6123 4388,4000,05,25,05,S833,0852,861,S833X015000006123038904000
29,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6123 4389,0150 0000 6123 8388,4000,06,25,06,S833,0852,861,S833X015000006123438904000
30,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6123 8389,0150 0000 6124 2388,4000,07,25,07,S833,0852,861,S833X015000006123838904000
31,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6124 2389,0150 0000 6124 6388,4000,08,25,08,S833,0852,861,S833X015000006124238904000
32,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6124 6389,0150 0000 6125 0388,4000,09,25,09,S833,0852,861,S833X015000006124638904000
33,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6125 0389,0150 0000 6125 4388,4000,10,25,10,S833,0852,861,S833X015000006125038904000
34,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6125 4389,0150 0000 6125 8388,4000,11,25,11,S833,0852,861,S833X015000006125438904000
35,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6125 8389,0150 0000 6126 2388,4000,12,25,12,S833,0852,861,S833X015000006125838904000
36,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6126 2389,0150 0000 6126 6388,4000,13,25,13,S833,0852,861,S833X015000006126238904000
37,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6126 6389,0150 0000 6127 0388,4000,14,25,14,S833,0852,861,S833X015000006126638904000
38,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852861pn1,0150 0000 6127 0389,0150 0000 6127 4388,4000,15,25,15,S833,0852,861,S833X015000006127038904000
