No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Inner Box No.,Total Inner Box No.,Outer Box No.,Item Code,NDC,HLR,Barcode
001,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 4184,0150 0000 6160 4683,500,01,48,1,S833,0823,717,S833X015000006160418400500
002,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 4684,0150 0000 6160 5183,500,02,48,1,S833,0823,717,S833X015000006160468400500
003,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 5184,0150 0000 6160 5683,500,03,48,1,S833,0823,717,S833X015000006160518400500
004,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 5684,0150 0000 6160 6183,500,04,48,1,S833,0823,717,S833X015000006160568400500
005,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 6184,0150 0000 6160 6683,500,05,48,1,S833,0823,717,S833X015000006160618400500
006,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 6684,0150 0000 6160 7183,500,06,48,1,S833,0823,717,S833X015000006160668400500
007,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 7184,0150 0000 6160 7683,500,07,48,1,S833,0823,717,S833X015000006160718400500
008,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 7684,0150 0000 6160 8183,500,08,48,1,S833,0823,717,S833X015000006160768400500
009,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 8184,0150 0000 6160 8683,500,09,48,2,S833,0823,717,S833X015000006160818400500
010,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 8684,0150 0000 6160 9183,500,10,48,2,S833,0823,717,S833X015000006160868400500
011,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 9184,0150 0000 6160 9683,500,11,48,2,S833,0823,717,S833X015000006160918400500
012,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 9684,0150 0000 6161 0183,500,12,48,2,S833,0823,717,S833X015000006160968400500
013,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 0184,0150 0000 6161 0683,500,13,48,2,S833,0823,717,S833X015000006161018400500
014,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 0684,0150 0000 6161 1183,500,14,48,2,S833,0823,717,S833X015000006161068400500
015,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 1184,0150 0000 6161 1683,500,15,48,2,S833,0823,717,S833X015000006161118400500
016,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 1684,0150 0000 6161 2183,500,16,48,2,S833,0823,717,S833X015000006161168400500
017,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 2184,0150 0000 6161 2683,500,17,48,3,S833,0823,717,S833X015000006161218400500
018,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 2684,0150 0000 6161 3183,500,18,48,3,S833,0823,717,S833X015000006161268400500
019,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 3184,0150 0000 6161 3683,500,19,48,3,S833,0823,717,S833X015000006161318400500
020,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 3684,0150 0000 6161 4183,500,20,48,3,S833,0823,717,S833X015000006161368400500
021,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 4184,0150 0000 6161 4683,500,21,48,3,S833,0823,717,S833X015000006161418400500
022,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 4684,0150 0000 6161 5183,500,22,48,3,S833,0823,717,S833X015000006161468400500
023,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 5184,0150 0000 6161 5683,500,23,48,3,S833,0823,717,S833X015000006161518400500
024,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 5684,0150 0000 6161 6183,500,24,48,3,S833,0823,717,S833X015000006161568400500
025,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 6184,0150 0000 6161 6683,500,25,48,4,S833,0823,717,S833X015000006161618400500
026,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 6684,0150 0000 6161 7183,500,26,48,4,S833,0823,717,S833X015000006161668400500
027,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 7184,0150 0000 6161 7683,500,27,48,4,S833,0823,717,S833X015000006161718400500
028,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 7684,0150 0000 6161 8183,500,28,48,4,S833,0823,717,S833X015000006161768400500
029,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 8184,0150 0000 6161 8683,500,29,48,4,S833,0823,717,S833X015000006161818400500
