No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
01,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 4184,0150 0000 6160 8183,4000,1,6,1,S833,0823,717,S833X015000006160418404000
02,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6160 8184,0150 0000 6161 2183,4000,2,6,2,S833,0823,717,S833X015000006160818404000
03,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 2184,0150 0000 6161 6183,4000,3,6,3,S833,0823,717,S833X015000006161218404000
04,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6161 6184,0150 0000 6162 0183,4000,4,6,4,S833,0823,717,S833X015000006161618404000
05,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 0184,0150 0000 6162 4183,4000,5,6,5,S833,0823,717,S833X015000006162018404000
06,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 4184,0150 0000 6162 8033,3850,6,6,6,S833,0823,717,S833X015000006162418403850
07,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6145 9819,0150 0000 6146 3818,4000,01,14,01,S833,0823,725,S833X015000006145981904000
08,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 3819,0150 0000 6146 7818,4000,02,14,02,S833,0823,725,S833X015000006146381904000
09,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 7819,0150 0000 6147 1818,4000,03,14,03,S833,0823,725,S833X015000006146781904000
10,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 1819,0150 0000 6147 5818,4000,04,14,04,S833,0823,725,S833X015000006147181904000
11,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 5819,0150 0000 6147 9818,4000,05,14,05,S833,0823,725,S833X015000006147581904000
12,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 9819,0150 0000 6148 3818,4000,06,14,06,S833,0823,725,S833X015000006147981904000
13,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 3819,0150 0000 6148 7818,4000,07,14,07,S833,0823,725,S833X015000006148381904000
14,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 7819,0150 0000 6149 1818,4000,08,14,08,S833,0823,725,S833X015000006148781904000
15,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6149 1819,0150 0000 6149 5818,4000,09,14,09,S833,0823,725,S833X015000006149181904000
16,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6149 5819,0150 0000 6149 9818,4000,10,14,10,S833,0823,725,S833X015000006149581904000
17,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6149 9819,0150 0000 6150 3818,4000,11,14,11,S833,0823,725,S833X015000006149981904000
18,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6150 3819,0150 0000 6150 7818,4000,12,14,12,S833,0823,725,S833X015000006150381904000
19,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6150 7819,0150 0000 6151 1818,4000,13,14,13,S833,0823,725,S833X015000006150781904000
20,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6151 1819,0150 0000 6151 2510,692,14,14,14,S833,0823,725,S833X015000006151181900692
21,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6131 1454,0150 0000 6131 5453,4000,01,14,01,S833,0823,728,S833X015000006131145404000
22,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6131 5454,0150 0000 6131 9453,4000,02,14,02,S833,0823,728,S833X015000006131545404000
