开始,结束,数量,盒号,总盒号,批次号
8959302810250010010F,8959302810250012008F,200,0001,2504,Y25J01
8959302810250012016F,8959302810250014004F,200,0002,2504,Y25J01
8959302810250014012F,8959302810250016009F,200,0003,2504,Y25J01
8959302810250016017F,8959302810250018005F,200,0004,2504,Y25J01
8959302810250018013F,8959302810250020001F,200,0005,2504,Y25J01
8959302810250020019F,8959302810250022007F,200,0006,2504,Y25J01
8959302810250022015F,8959302810250024003F,200,0007,2504,Y25J01
8959302810250024011F,8959302810250026008F,200,0008,2504,Y25J01
8959302810250026016F,8959302810250028004F,200,0009,2504,Y25J01
8959302810250028012F,8959302810250030000F,200,0010,2504,Y25J01
8959302810250030018F,8959302810250032006F,200,0011,2504,Y25J01
8959302810250032014F,8959302810250034002F,200,0012,2504,Y25J01
8959302810250034010F,8959302810250036007F,200,0013,2504,Y25J01
8959302810250036015F,8959302810250038003F,200,0014,2504,Y25J01
8959302810250038011F,8959302810250040009F,200,0015,2504,Y25J01
8959302810250040017F,8959302810250042005F,200,0016,2504,Y25J01
8959302810250042013F,8959302810250044001F,200,0017,2504,Y25J01
8959302810250044019F,8959302810250046006F,200,0018,2504,Y25J01
8959302810250046014F,8959302810250048002F,200,0019,2504,Y25J01
8959302810250048010F,8959302810250050008F,200,0020,2504,Y25J01
8959302810250050016F,8959302810250052004F,200,0021,2504,Y25J01
8959302810250052012F,8959302810250054000F,200,0022,2504,Y25J01
8959302810250054018F,8959302810250056005F,200,0023,2504,Y25J01
8959302810250056013F,8959302810250058001F,200,0024,2504,Y25J01
8959302810250058019F,8959302810250060007F,200,0025,2504,Y25J01
8959302810250060015F,8959302810250062003F,200,0026,2504,Y25J01
8959302810250062011F,8959302810250064009F,200,0027,2504,Y25J01
8959302810250064017F,8959302810250066004F,200,0028,2504,Y25J01
8959302810250066012F,8959302810250068000F,200,0029,2504,Y25J01
8959302810250068018F,8959302810250070006F,200,0030,2504,Y25J01
8959302810250070014F,8959302810250072002F,200,0031,2504,Y25J01
8959302810250072010F,8959302810250074008F,200,0032,2504,Y25J01
8959302810250074016F,8959302810250076003F,200,0033,2504,Y25J01
8959302810250076011F,8959302810250078009F,200,0034,2504,Y25J01
8959302810250078017F,8959302810250080005F,200,0035,2504,Y25J01
8959302810250080013F,8959302810250082001F,200,0036,2504,Y25J01
8959302810250082019F,8959302810250084007F,200,0037,2504,Y25J01
8959302810250084015F,8959302810250086002F,200,0038,2504,Y25J01
8959302810250086010F,8959302810250088008F,200,0039,2504,Y25J01
8959302810250088016F,8959302810250090004F,200,0040,2504,Y25J01
8959302810250090012F,8959302810250092000F,200,0041,2504,Y25J01
8959302810250092018F,8959302810250094006F,200,0042,2504,Y25J01
8959302810250094014F,8959302810250096001F,200,0043,2504,Y25J01
8959302810250096019F,8959302810250098007F,200,0044,2504,Y25J01
8959302810250098015F,8959302810250100001F,200,0045,2504,Y25J01
8959302810250100019F,8959302810250102007F,200,0046,2504,Y25J01
8959302810250102015F,8959302810250104003F,200,0047,2504,Y25J01
8959302810250104011F,8959302810250106008F,200,0048,2504,Y25J01
8959302810250106016F,8959302810250108004F,200,0049,2504,Y25J01
8959302810250108012F,8959302810250110000F,200,0050,2504,Y25J01
8959302810250110018F,8959302810250112006F,200,0051,2504,Y25J01
8959302810250112014F,8959302810250114002F,200,0052,2504,Y25J01
8959302810250114010F,8959302810250116007F,200,0053,2504,Y25J01
8959302810250116015F,8959302810250118003F,200,0054,2504,Y25J01
8959302810250118011F,8959302810250120009F,200,0055,2504,Y25J01
8959302810250120017F,8959302810250122005F,200,0056,2504,Y25J01
8959302810250122013F,8959302810250124001F,200,0057,2504,Y25J01
8959302810250124019F,8959302810250126006F,200,0058,2504,Y25J01
8959302810250126014F,8959302810250128002F,200,0059,2504,Y25J01
8959302810250128010F,8959302810250130008F,200,0060,2504,Y25J01
8959302810250130016F,8959302810250132004F,200,0061,2504,Y25J01
8959302810250132012F,8959302810250134000F,200,0062,2504,Y25J01
