开始,结束,数量,箱号,总箱号,批次号
8959302810250010010F,8959302810250030000F,2000,001,251,Y25J01
8959302810250030018F,8959302810250050008F,2000,002,251,Y25J01
8959302810250050016F,8959302810250070006F,2000,003,251,Y25J01
8959302810250070014F,8959302810250090004F,2000,004,251,Y25J01
8959302810250090012F,8959302810250110000F,2000,005,251,Y25J01
8959302810250110018F,8959302810250130008F,2000,006,251,Y25J01
8959302810250130016F,8959302810250150006F,2000,007,251,Y25J01
8959302810250150014F,8959302810250170004F,2000,008,251,Y25J01
8959302810250170012F,8959302810250190002F,2000,009,251,Y25J01
8959302810250190010F,8959302810250210008F,2000,010,251,Y25J01
8959302810250210016F,8959302810250230006F,2000,011,251,Y25J01
8959302810250230014F,8959302810250250004F,2000,012,251,Y25J01
8959302810250250012F,8959302810250270002F,2000,013,251,Y25J01
8959302810250270010F,8959302810250290000F,2000,014,251,Y25J01
8959302810250290018F,8959302810250310006F,2000,015,251,Y25J01
8959302810250310014F,8959302810250330004F,2000,016,251,Y25J01
8959302810250330012F,8959302810250350002F,2000,017,251,Y25J01
8959302810250350010F,8959302810250370000F,2000,018,251,Y25J01
8959302810250370018F,8959302810250390008F,2000,019,251,Y25J01
8959302810250390016F,8959302810250410004F,2000,020,251,Y25J01
8959302810250410012F,8959302810250430002F,2000,021,251,Y25J01
8959302810250430010F,8959302810250450000F,2000,022,251,Y25J01
8959302810250450018F,8959302810250470008F,2000,023,251,Y25J01
8959302810250470016F,8959302810250490006F,2000,024,251,Y25J01
8959302810250490014F,8959302810250510001F,2000,025,251,Y25J01
8959302810250510019F,8959302810250530009F,2000,026,251,Y25J01
8959302810250530017F,8959302810250550007F,2000,027,251,Y25J01
8959302810250550015F,8959302810250570005F,2000,028,251,Y25J01
8959302810250570013F,8959302810250590003F,2000,029,251,Y25J01
8959302810250590011F,8959302810250610009F,2000,030,251,Y25J01
8959302810250610017F,8959302810250630007F,2000,031,251,Y25J01
8959302810250630015F,8959302810250650005F,2000,032,251,Y25J01
8959302810250650013F,8959302810250670003F,2000,033,251,Y25J01
8959302810250670011F,8959302810250690001F,2000,034,251,Y25J01
8959302810250690019F,8959302810250710007F,2000,035,251,Y25J01
8959302810250710015F,8959302810250730005F,2000,036,251,Y25J01
8959302810250730013F,8959302810250750003F,2000,037,251,Y25J01
8959302810250750011F,8959302810250770001F,2000,038,251,Y25J01
8959302810250770019F,8959302810250790009F,2000,039,251,Y25J01
8959302810250790017F,8959302810250810005F,2000,040,251,Y25J01
8959302810250810013F,8959302810250830003F,2000,041,251,Y25J01
8959302810250830011F,8959302810250850001F,2000,042,251,Y25J01
8959302810250850019F,8959302810250870009F,2000,043,251,Y25J01
8959302810250870017F,8959302810250890007F,2000,044,251,Y25J01
8959302810250890015F,8959302810250910003F,2000,045,251,Y25J01
8959302810250910011F,8959302810250930001F,2000,046,251,Y25J01
8959302810250930019F,8959302810250950009F,2000,047,251,Y25J01
8959302810250950017F,8959302810250970007F,2000,048,251,Y25J01
8959302810250970015F,8959302810250990005F,2000,049,251,Y25J01
8959302810250990013F,8959302810251010001F,2000,050,251,Y25J01
8959302810251010019F,8959302810251030009F,2000,051,251,Y25J01
8959302810251030017F,8959302810251050007F,2000,052,251,Y25J01
8959302810251050015F,8959302810251070005F,2000,053,251,Y25J01
8959302810251070013F,8959302810251090003F,2000,054,251,Y25J01
8959302810251090011F,8959302810251110009F,2000,055,251,Y25J01
8959302810251110017F,8959302810251130007F,2000,056,251,Y25J01
8959302810251130015F,8959302810251150005F,2000,057,251,Y25J01
8959302810251150013F,8959302810251170003F,2000,058,251,Y25J01
8959302810251170011F,8959302810251190001F,2000,059,251,Y25J01
8959302810251190019F,8959302810251210007F,2000,060,251,Y25J01
8959302810251210015F,8959302810251230005F,2000,061,251,Y25J01
8959302810251230013F,8959302810251250003F,2000,062,251,Y25J01
8959302810251250011F,8959302810251270001F,2000,063,251,Y25J01
8959302810251270019F,8959302810251290009F,2000,064,251,Y25J01
8959302810251290017F,8959302810251310005F,2000,065,251,Y25J01
8959302810251310013F,8959302810251330003F,2000,066,251,Y25J01
8959302810251330011F,8959302810251350001F,2000,067,251,Y25J01
8959302810251350019F,8959302810251370009F,2000,068,251,Y25J01
8959302810251370017F,8959302810251390007F,2000,069,251,Y25J01
8959302810251390015F,8959302810251410003F,2000,070,251,Y25J01
8959302810251410011F,8959302810251430001F,2000,071,251,Y25J01
8959302810251430019F,8959302810251450009F,2000,072,251,Y25J01
8959302810251450017F,8959302810251470007F,2000,073,251,Y25J01
8959302810251470015F,8959302810251490005F,2000,074,251,Y25J01
8959302810251490013F,8959302810251510000F,2000,075,251,Y25J01
8959302810251510018F,8959302810251530008F,2000,076,251,Y25J01
8959302810251530016F,8959302810251550006F,2000,077,251,Y25J01
8959302810251550014F,8959302810251570004F,2000,078,251,Y25J01
8959302810251570012F,8959302810251590002F,2000,079,251,Y25J01
8959302810251590010F,8959302810251610008F,2000,080,251,Y25J01
8959302810251610016F,8959302810251630006F,2000,081,251,Y25J01
8959302810251630014F,8959302810251650004F,2000,082,251,Y25J01
8959302810251650012F,8959302810251670002F,2000,083,251,Y25J01
8959302810251670010F,8959302810251690000F,2000,084,251,Y25J01
8959302810251690018F,8959302810251710006F,2000,085,251,Y25J01
8959302810251710014F,8959302810251730004F,2000,086,251,Y25J01
8959302810251730012F,8959302810251750002F,2000,087,251,Y25J01
8959302810251750010F,8959302810251770000F,2000,088,251,Y25J01
8959302810251770018F,8959302810251790008F,2000,089,251,Y25J01
8959302810251790016F,8959302810251810004F,2000,090,251,Y25J01
8959302810251810012F,8959302810251830002F,2000,091,251,Y25J01
8959302810251830010F,8959302810251850000F,2000,092,251,Y25J01
8959302810251850018F,8959302810251870008F,2000,093,251,Y25J01
8959302810251870016F,8959302810251890006F,2000,094,251,Y25J01
8959302810251890014F,8959302810251910002F,2000,095,251,Y25J01
8959302810251910010F,8959302810251930000F,2000,096,251,Y25J01
8959302810251930018F,8959302810251950008F,2000,097,251,Y25J01
8959302810251950016F,8959302810251970006F,2000,098,251,Y25J01
8959302810251970014F,8959302810251990004F,2000,099,251,Y25J01
8959302810251990012F,8959302810252010000F,2000,100,251,Y25J01
8959302810252010018F,8959302810252030008F,2000,101,251,Y25J01
8959302810252030016F,8959302810252050006F,2000,102,251,Y25J01
8959302810252050014F,8959302810252070004F,2000,103,251,Y25J01
8959302810252070012F,8959302810252090002F,2000,104,251,Y25J01
8959302810252090010F,8959302810252110008F,2000,105,251,Y25J01
8959302810252110016F,8959302810252130006F,2000,106,251,Y25J01
8959302810252130014F,8959302810252150004F,2000,107,251,Y25J01
8959302810252150012F,8959302810252170002F,2000,108,251,Y25J01
8959302810252170010F,8959302810252190000F,2000,109,251,Y25J01
8959302810252190018F,8959302810252210006F,2000,110,251,Y25J01
8959302810252210014F,8959302810252230004F,2000,111,251,Y25J01
8959302810252230012F,8959302810252250002F,2000,112,251,Y25J01
8959302810252250010F,8959302810252270000F,2000,113,251,Y25J01
8959302810252270018F,8959302810252290008F,2000,114,251,Y25J01
8959302810252290016F,8959302810252310004F,2000,115,251,Y25J01
8959302810252310012F,8959302810252330002F,2000,116,251,Y25J01
8959302810252330010F,8959302810252350000F,2000,117,251,Y25J01
8959302810252350018F,8959302810252370008F,2000,118,251,Y25J01
8959302810252370016F,8959302810252390006F,2000,119,251,Y25J01
8959302810252390014F,8959302810252410002F,2000,120,251,Y25J01
8959302810252410010F,8959302810252430000F,2000,121,251,Y25J01
8959302810252430018F,8959302810252450008F,2000,122,251,Y25J01
8959302810252450016F,8959302810252470006F,2000,123,251,Y25J01
8959302810252470014F,8959302810252490004F,2000,124,251,Y25J01
8959302810252490012F,8959302810252510009F,2000,125,251,Y25J01
8959302810252510017F,8959302810252530007F,2000,126,251,Y25J02
8959302810252530015F,8959302810252550005F,2000,127,251,Y25J02
8959302810252550013F,8959302810252570003F,2000,128,251,Y25J02
8959302810252570011F,8959302810252590001F,2000,129,251,Y25J02
8959302810252590019F,8959302810252610007F,2000,130,251,Y25J02
8959302810252610015F,8959302810252630005F,2000,131,251,Y25J02
8959302810252630013F,8959302810252650003F,2000,132,251,Y25J02
8959302810252650011F,8959302810252670001F,2000,133,251,Y25J02
8959302810252670019F,8959302810252690009F,2000,134,251,Y25J02
8959302810252690017F,8959302810252710005F,2000,135,251,Y25J02
8959302810252710013F,8959302810252730003F,2000,136,251,Y25J02
8959302810252730011F,8959302810252750001F,2000,137,251,Y25J02
8959302810252750019F,8959302810252770009F,2000,138,251,Y25J02
8959302810252770017F,8959302810252790007F,2000,139,251,Y25J02
